Index,NIS
0,0.22063
1,0.166685
2,0.251749
3,0.0064551
4,1.16259
5,2.14564
6,0.347092
7,12.3515
8,2.6773
9,1.67386
10,3.74828
11,0.242587
12,2.70597
13,0.569517
14,0.332604
15,0.54216
16,0.655749
17,2.30104
18,0.97227
19,2.19294
20,2.52209
21,0.356142
22,0.860821
23,3.14607
24,2.23314
25,1.01122
26,0.332507
27,2.54059
28,0.726205
29,0.317853
30,0.40368
31,0.187441
32,0.507772
33,0.231782
34,0.273015
35,2.17263
36,0.92981
37,0.453308
38,2.07158
39,3.71468
40,1.49741
41,1.25876
42,3.35779
43,3.88688
44,3.20832
45,0.972966
46,0.99044
47,2.13566
48,0.0343889
49,5.53585
50,0.90398
51,2.24936
52,0.981073
53,1.42117
54,0.351113
55,0.985132
56,2.31742
57,3.75327
58,0.0494256
59,0.522021
60,0.252385
61,2.05387
62,3.83636
63,0.864622
64,1.01917
65,0.578653
66,0.255473
67,2.83203
68,0.872524
69,0.766244
70,1.22223
71,1.79033
72,0.564033
73,0.71293
74,1.57339
75,0.133778
76,2.06619
77,0.182555
78,1.72865
79,0.665717
80,0.414246
81,3.4962
82,1.64813
83,0.950251
84,2.27168
85,2.8402
86,0.0982007
87,2.96037
88,0.336736
89,0.123128
90,0.387848
91,1.83168
92,1.98837
93,0.725876
94,1.10252
95,1.64513
96,3.16756
97,1.16006
98,6.17754
99,0.095482
100,0.516764
101,2.27351
102,1.33287
103,0.660549
104,1.79527
105,0.965657
106,0.578514
107,3.84671
108,1.52796
109,3.23816
110,0.474179
111,0.506671
112,3.40284
113,1.16582
114,0.61316
115,2.03014
116,0.928134
117,4.00491
118,0.0760815
119,1.07376
120,0.607985
121,0.230873
122,2.62351
123,0.335767
124,1.81959
125,0.577528
126,2.00487
127,2.09471
128,0.873793
129,0.0201481
130,1.34411
131,0.55528
132,1.43241
133,5.28352
134,4.01521
135,1.6129
136,1.62451
137,2.16359
138,2.01349
139,0.881045
140,0.756798
141,0.242586
142,3.15085
143,1.34234
144,4.35921
145,0.662788
146,1.29833
147,0.237785
148,1.90582
149,0.109541
150,4.20263
151,0.683169
152,0.629016
153,3.73491
154,3.45542
155,3.40611
156,2.7758
157,0.305209
158,1.45958
159,4.02647
160,1.44286
161,1.6856
162,0.972048
163,1.66064
164,5.42317
165,2.10354
166,0.460609
167,1.39559
168,0.506821
169,0.15446
170,2.33374
171,0.258554
172,3.08142
173,1.00532
174,15.0195
175,0.810799
176,1.14405
177,1.35393
178,0.111855
179,1.40948
180,6.0004
181,2.18372
182,0.713407
183,2.28692
184,2.9217
185,5.32082
186,2.82181
187,0.407982
188,0.588478
189,0.538986
190,0.593927
191,1.86227
192,4.10601
193,1.32649
194,6.03039
195,1.16851
196,1.13403
197,0.0106505
198,0.636349
199,2.6233
200,1.55369
201,2.75989
202,0.18242
203,0.53044
204,0.889891
205,0.100596
206,1.41459
207,0.300609
208,3.7351
209,2.07435
210,0.408432
211,0.966776
212,1.17892
213,0.020489
214,0.0725296
215,4.24387
216,0.97806
217,0.297082
218,2.09375
219,0.033045
220,4.77858
221,2.80683
222,1.27684
223,0.604939
224,0.86821
225,6.16339
226,0.681665
227,2.97859
228,0.744596
229,0.804938
230,1.05114
231,1.18366
232,2.10392
233,0.259055
234,2.08584
235,7.65709
236,0.856913
237,3.57703
238,2.41165
239,1.80116
240,0.878688
241,2.68156
242,1.00892
243,1.9838
244,0.661052
245,0.955487
246,4.77251
247,5.64408
248,0.644988
