Index,NIS
0,74.4774
1,1.82547
2,7.52025
3,5.98036
4,0.324849
5,1.30632
6,4.11295
7,1.89068
8,1.47836
9,1.84659
10,3.50903
11,0.403473
12,2.46779
13,4.97188
14,2.19069
15,6.81266
16,6.80683
17,4.21125
18,4.13695
19,3.07231
20,2.56752
21,0.814602
22,1.43117
23,0.897439
24,3.10965
25,10.2136
26,0.111389
27,1.70406
28,3.50247
29,2.33545
30,1.18442
31,1.62023
32,0.747629
33,3.57388
34,1.76347
35,3.09797
36,0.621313
37,0.784062
38,0.181814
39,0.783466
40,3.99537
41,0.321937
42,2.22299
43,0.507236
44,1.08763
45,2.32649
46,7.45119
47,2.3137
48,4.985
49,8.80081
50,4.55329
51,2.54473
52,2.16837
53,1.36021
54,0.770479
55,1.33652
56,3.37292
57,7.24548
58,1.51415
59,2.00282
60,0.251692
61,6.05347
62,6.2482
63,1.46782
64,2.80986
65,6.36271
66,1.96547
67,2.92979
68,3.25395
69,10.0178
70,3.26531
71,5.46831
72,2.36064
73,1.25095
74,0.198843
75,1.60562
76,2.11892
77,2.59437
78,0.90298
79,1.04645
80,4.05422
81,5.64978
82,1.00267
83,1.3161
84,1.66183
85,4.74067
86,0.204514
87,3.47211
88,0.232478
89,0.498456
90,2.91496
91,1.79316
92,1.76863
93,4.8329
94,1.46178
95,1.31586
96,6.94044
97,3.4572
98,2.36375
99,2.73074
100,2.39803
101,4.75489
102,0.681613
103,2.59427
104,0.856406
105,2.17904
106,2.08202
107,2.59139
108,0.591911
109,1.52145
110,3.68658
111,3.56496
112,2.53052
113,1.86715
114,2.58673
115,1.65057
116,0.555063
117,2.34075
118,1.98664
119,2.50693
120,5.54931
121,4.68482
122,2.17506
123,3.57826
124,3.58395
125,1.78615
126,0.546454
127,1.74169
128,1.61179
129,3.98665
130,0.49791
131,0.339684
132,3.62363
133,0.156349
134,1.30387
135,5.45738
136,5.81679
137,3.53477
138,5.06982
139,3.12589
140,3.07756
141,2.98701
142,0.835208
143,0.382893
144,4.5082
145,0.444651
146,0.439974
147,2.20139
148,3.45109
149,0.26126
150,5.55825
151,1.05978
152,7.20715
153,0.887214
154,1.59497
155,1.2576
156,1.62814
157,1.33966
158,2.86798
159,1.32239
160,2.73766
161,3.01933
162,2.9917
163,0.362139
164,4.57395
165,2.21877
166,2.27454
167,4.94717
168,8.16231
169,1.66219
170,0.490009
171,1.74593
172,3.90155
173,0.949719
174,4.82596
175,1.51585
176,2.53663
177,1.96084
178,6.09273
179,2.29607
180,0.748732
181,2.79662
182,2.3872
183,0.921014
184,1.95058
185,3.45376
186,0.303868
187,1.82221
188,1.16558
189,5.83114
190,0.119272
191,11.6073
192,2.83457
193,0.0391069
194,2.02564
195,1.38635
196,1.97547
197,1.69152
198,5.16661
199,2.29898
200,2.74451
201,1.78919
202,6.31971
203,8.19201
204,0.558453
205,0.435682
206,3.21837
207,2.08923
208,1.11696
209,0.581739
210,9.09054
211,2.31811
212,0.799459
213,3.00151
214,4.8042
215,1.36338
216,5.50999
217,1.89702
218,2.57072
219,5.65028
220,1.51866
221,5.40272
222,5.09921
223,1.17708
224,0.667868
225,4.79579
226,1.73799
227,5.56543
228,3.09868
229,0.387634
230,0.0437991
231,0.460965
232,0.275948
233,7.35254
234,6.7875
235,0.567532
236,1.21231
237,0.406791
238,1.10176
239,0.268728
240,2.77348
241,9.07201
242,0.440549
243,7.21165
244,3.92895
245,2.5413
246,6.48047
247,1.32647
248,1.64927
